5,1
21,1
22,1
24,1
30,1
37,1
45,1
52,1
56,1
72,1
74,1
78,1
80,1
82,1
86,1
90,1
91,1
103,1
106,1
149,1
152,1
167,1
195,1
202,1
204,1
210,1
238,1
258,1
259,1
268,1
271,1
275,1
278,1
279,1
281,1
282,1
284,1
287,1
298,1
301,1
306,1
307,1
311,1
312,1
325,1
327,1
333,1
346,1
354,1
364,1
365,1
375,1
377,1
381,1
388,1
405,1
424,1
426,1
430,1
431,1
437,1
443,1
452,1
453,1
460,1
463,1
466,1
473,1
474,1
476,1
483,1
485,1
492,1
493,1
497,1
504,1
511,1
513,1
515,1
522,1
533,1
540,1
541,1
548,1
553,1
554,1
570,1
571,1
576,1
577,1
583,1
584,1
592,1
593,1
601,1
605,1
614,1
621,1
626,1
627,1
633,1
639,1
643,1
645,1
659,1
662,1
665,1
677,1
688,1
691,1
695,1
699,1
700,1
715,1
717,1
718,1
735,1
747,1
766,1
774,1
778,1
786,1
802,1
804,1
809,1
811,1
821,1
824,1
854,1
857,1
866,1
868,1
907,1
909,1
926,1
930,1
933,1
938,1
963,1
977,1
978,1
991,1
998,1
1005,1
1031,1
1032,1
1036,1
1047,1
1054,1
1056,1
1071,1
1076,1
1083,1
1084,1
1092,1
1096,1
1105,1
1106,1
1108,1
1109,1
1110,1
1117,1
1121,1
1124,1
1137,1
1155,1
1158,1
1166,1
1167,1
1176,1
1211,1
1214,1
1217,1
1247,1
1263,1
1267,1
1272,1
1276,1
1287,1
1288,1
1297,1
1305,1
1307,1
1313,1
1324,1
1335,1
1337,1
1343,1
1344,1
1346,1
1357,1
1361,1
1369,1
1370,1
1386,1
1387,1
1389,1
1397,1
1405,1
1406,1
1421,1
1435,1
1439,1
1440,1
1448,1
1456,1
1461,1
1462,1
1475,1
1498,1
1500,1
1502,1
1522,1
1523,1
1534,1
1549,1
1554,1
1557,1
1558,1
1579,1
1608,1
1611,1
1622,1
1624,1
1641,1
1645,1
1662,1
1663,1
1667,1
1668,1
1676,1
1678,1
1679,1
1681,1
1687,1
1696,1
1703,1
1705,1
1709,1
1721,1
1726,1
1748,1
1756,1
1759,1
1768,1
1772,1
1793,1
1811,1
1819,1
1827,1
1829,1
1854,1
1858,1
1872,1
1888,1
1895,1
1902,1
1911,1
1913,1
1915,1
1925,1
1929,1
1931,1
1932,1
1947,1
1957,1
1971,1
1976,1
1979,1
1982,1
2000,1
2002,1
2006,1
2076,1
2097,1
2102,1
2106,1
2107,1
2116,1
2127,1
2135,1
2138,1
2166,1
2181,1
2188,1
2191,1
2196,1
2198,1
2200,1
2226,1
2241,1
2243,1
2254,1
2260,1
2274,1
2275,1
2276,1
2322,1
2332,1
2338,1
2342,1
2347,1
2353,1
2356,1
2359,1
2365,1
2369,1
2370,1
2400,1
2406,1
2414,1
2428,1
2438,1
2440,1
2450,1
2490,1
2501,1
2506,1
2509,1
2514,1
2517,1
2523,1
2547,1
2548,1
2549,1
2553,1
2570,1
2571,1
2577,1
2581,1
2588,1
2597,1
2600,1
2601,1
2615,1
2624,1
2640,1
2642,1
2644,1
2650,1
2669,1
2675,1
2688,1
2694,1
2703,1
2705,1
2782,1
2791,1
2798,1
2820,1
2846,1
2847,1
2853,1
2869,1
2881,1
2925,1
2930,1
2950,1
2985,1
2997,1
3001,1
3003,1
3012,1
3020,1
3026,1
3029,1
3032,1
3042,1
3045,1
3051,1
3067,1
3076,1
3083,1
3120,1
3143,1
3152,1
3153,1
3157,1
3179,1
3180,1
3188,1
3205,1
3218,1
3224,1
3235,1
3257,1
3260,1
3261,1
3283,1
3308,1
3336,1
3338,1
3339,1
3343,1
3353,1
3356,1
3377,1
3396,1
3409,1
3423,1
3429,1
3460,1
3531,1
3565,1
3583,1
3588,1
3591,1
3653,1
3655,1
3664,1
3676,1
3680,1
3692,1
3699,1
3705,1
3717,1
3722,1
3725,1
3728,1
3753,1
3760,1
3775,1
3823,1
3855,1
3858,1
3890,1
3904,1
3932,1
3965,1
4004,1
4006,1
4013,1
4021,1
4029,1
4033,1
4038,1
4053,1
4071,1
4076,1
4087,1
4089,1
4096,1
4105,1
4112,1
4134,1
4142,1
4156,1
4175,1
4177,1
4186,1
4206,1
4227,1
4228,1
4232,1
4246,1
4254,1
4256,1
4281,1
4293,1
4297,1
4301,1
4307,1
4321,1
4322,1
4326,1
4341,1
4367,1
4380,1
4387,1
4395,1
4398,1
4413,1
4430,1
4441,1
4442,1
4453,1
4472,1
4485,1
4516,1
4517,1
4559,1
4564,1
4584,1
4589,1
4611,1
4657,1
4681,1
4706,1
4746,1
4748,1
4762,1
4772,1
4799,1
4808,1
4904,1
4910,1
4918,1
4932,1
4944,1
4948,1
4982,1
4985,1
4986,1
5009,1
5010,1
5033,1
5056,1
5078,1
5084,1
5087,1
5148,1
